time [s],channel_4_data.input_voltage,channel_4_data.output_voltage,
1.01,5767,12434,
1.011,5767,12434,
1.012,5767,12434,
1.013,5767,12434,
1.014,5770,12434,
1.015,5770,12434,
1.016,5774,12448,
1.017,5774,12448,
1.018,5770,12420,
1.019,5770,12420,
1.02,5767,12434,
1.021,5767,12434,
1.022,5767,12434,
1.023,5767,12434,
1.024,5774,12434,
1.025,5774,12434,
1.02674,5770,12434,
1.02813,5770,12448,
1.0289,5770,12448,
1.02971,5770,12448,
1.03094,5767,12448,
1.0324,5770,12434,
1.03418,5770,12434,
1.03501,5770,12434,
1.03627,5770,12434,
1.03738,5770,12434,
1.03811,5767,12448,
1.03882,5767,12448,
1.03954,5767,12448,
1.04027,5763,12448,
1.04112,5763,12448,
1.04192,5763,12434,
1.04262,5763,12434,
1.04331,5763,12434,
1.044,5767,12448,
1.045,5767,12448,
1.046,5770,12448,
1.047,5770,12448,
1.048,5767,12434,
1.049,5767,12434,
1.05,5763,12434,
1.051,5763,12434,
1.052,5763,12434,
1.053,5763,12434,
1.054,5767,12448,
1.055,5767,12448,
1.056,5770,12448,
1.057,5770,12448,
1.058,5767,12434,
1.059,5767,12434,
1.06,5756,12448,
1.061,5756,12448,
1.062,5756,12434,
1.063,5756,12434,
1.064,5763,12434,
1.065,5763,12434,
1.066,5763,12434,
1.067,5763,12434,
1.068,5763,12434,
1.069,5763,12434,
1.07,5756,12448,
1.071,5756,12448,
1.072,5756,12448,
1.073,5756,12448,
1.074,5760,12434,
1.075,5760,12434,
1.076,5760,12434,
1.077,5760,12434,
1.078,5756,12448,
1.079,5756,12448,
1.08,5749,12448,
1.081,5749,12448,
1.082,5746,12448,
1.083,5746,12448,
1.084,5760,12448,
1.085,5760,12448,
1.086,5753,12434,
1.087,5753,12434,
1.088,5753,12448,
1.089,5753,12448,
1.09,5742,12448,
1.091,5742,12448,
1.092,5746,12434,
1.093,5746,12434,
1.094,5746,12434,
1.095,5746,12434,
1.096,5749,12434,
1.09705,5749,12434,
1.098,5742,12434,
1.099,5742,12434,
1.1,5735,12434,
1.101,5735,12434,
1.102,5739,12463,
1.10337,5739,12448,
1.10494,5742,12448,
1.10571,5742,12448,
1.10661,5742,12448,
1.10731,5742,12448,
1.10801,5739,12448,
1.109,5739,12448,
1.11,5735,12448,
1.111,5735,12448,
1.112,5728,12434,
1.113,5728,12434,
1.114,5735,12448,
1.115,5735,12448,
1.116,5735,12434,
1.117,5735,12434,
1.118,5728,12448,
1.119,5728,12448,
1.12,5722,12448,
1.121,5722,12448,
1.122,5722,12448,
1.123,5722,12448,
1.124,5725,12448,
1.125,5725,12448,
1.126,5725,12434,
1.127,5725,12434,
1.128,5718,12448,
1.129,5718,12448,
1.13,5711,12448,
1.131,5711,12448,
1.132,5711,12463,
1.133,5711,12463,
1.134,5715,12448,
1.135,5715,12448,
1.136,5715,12448,
1.137,5715,12448,
1.138,5708,12434,
1.139,5708,12434,
1.14,5704,12434,
1.141,5704,12434,
1.14255,5697,12434,
1.14326,5697,12434,
1.144,5701,12434,
1.145,5701,12434,
1.146,5701,12448,
1.147,5701,12448,
1.148,5697,12448,
1.149,5697,12448,
1.15,5690,12448,
1.151,5690,12448,
1.152,5687,12448,
1.153,5687,12448,
1.154,5687,12434,
1.155,5687,12434,
1.156,5690,12434,
1.157,5690,12434,
1.158,5683,12448,
1.15951,5673,12448,
1.16057,5673,12448,
1.16128,5673,12448,
1.162,5673,12434,
1.163,5673,12434,
1.164,5673,12448,
1.165,5673,12448,
1.166,5669,12448,
1.167,5669,12448,
1.168,5663,12448,
1.169,5663,12448,
1.17,5652,12448,
1.171,5652,12448,
1.172,5652,12448,
1.173,5652,12448,
1.174,5656,12434,
1.175,5656,12434,
1.176,5652,12448,
1.177,5652,12448,
1.178,5645,12434,
1.179,5645,12434,
1.18,5635,12448,
1.181,5635,12448,
1.182,5624,12448,
1.183,5624,12448,
1.184,5628,12434,
1.185,5628,12434,
1.186,5624,12448,
1.187,5624,12448,
1.188,5617,12448,
1.189,5617,12448,
1.19,5607,12448,
1.191,5607,12448,
1.192,5597,12448,
1.193,5597,12448,
1.194,5600,12448,
1.195,5600,12448,
1.196,5597,12463,
1.197,5597,12463,
1.198,5586,12448,
1.199,5586,12448,
1.2,5572,12448,
1.201,5572,12448,
1.20232,5558,12448,
1.20346,5558,12448,
1.20426,5558,12434,
1.20514,5558,12434,
1.20602,5552,12448,
1.207,5552,12448,
1.208,5534,12448,
1.209,5534,12448,
1.21,5520,12448,
1.211,5520,12448,
1.212,5506,12448,
1.213,5506,12448,
1.214,5493,12448,
1.21579,5486,12448,
1.21657,5486,12448,
1.21726,5486,12448,
1.218,5468,12434,
1.219,5468,12434,
1.22,5444,12448,
1.221,5444,12448,
1.222,5423,12448,
1.223,5423,12448,
1.224,5402,12448,
1.225,5402,12448,
1.226,5381,12448,
1.227,5381,12448,
1.228,5350,12448,
1.229,5350,12448,
1.23,5316,12448,
1.231,5316,12448,
