time [s],channel_4_data.input_current_ma,channel_4_data.output_current_ma,
1.165,0,-15,
1.166,0,-12,
1.167,0,-12,
1.168,0,-12,
1.169,0,-12,
1.17,6,-12,
1.171,6,-12,
1.172,12,-12,
1.173,12,-12,
1.174,12,-12,
1.175,12,-12,
1.176,12,-10,
1.177,12,-10,
1.178,19,-12,
1.179,19,-12,
1.18,19,-10,
1.181,19,-10,
1.182,25,-7,
1.183,25,-7,
1.184,25,-7,
1.185,25,-7,
1.186,32,-5,
1.187,32,-5,
1.188,32,-7,
1.189,32,-7,
1.19,38,-5,
1.191,38,-5,
1.192,32,-5,
1.193,32,-5,
1.194,25,-7,
1.195,25,-7,
1.196,32,0,
1.197,32,0,
1.198,38,0,
1.199,38,0,
1.2,45,0,
1.201,45,0,
1.20232,45,2,
1.20346,45,2,
1.20426,51,2,
1.20514,51,2,
1.20602,51,-2,
1.207,51,-2,
1.208,45,5,
1.209,45,5,
1.21,51,5,
1.211,51,5,
1.212,64,2,
1.213,64,2,
1.214,64,7,
1.21579,64,7,
1.21657,64,5,
1.21726,64,5,
1.218,64,7,
1.219,64,7,
1.22,64,7,
1.221,64,7,
1.222,70,7,
1.223,70,7,
1.224,70,10,
1.225,70,10,
1.226,70,10,
1.227,70,10,
1.228,70,10,
1.229,70,10,
1.23,58,7,
1.231,58,7,
1.232,70,7,
1.23314,70,7,
1.234,77,7,
1.235,77,7,
1.236,77,7,
1.237,77,7,
1.238,70,7,
1.239,70,7,
1.24,83,5,
1.241,83,5,
